	PF00161	PF00163	PF00164	PF00181	PF00189	PF00203	PF00237	PF00238	PF00252	PF00253	PF00276	PF00281	PF00297	PF00298	PF00312	PF00318	PF00333	PF00347	PF00366	PF00380	PF00410	PF00411	PF00416	PF00428	PF00444	PF00453	PF00466	PF00468	PF00471	PF00542	PF00572	PF00573	PF00673	PF00827	PF00829	PF00830	PF00831	PF00832	PF00833	PF00861	PF00886	PF00935	PF01015	PF01016	PF01020	PF01084	PF01090	PF01092	PF01157	PF01165	PF01196	PF01197	PF01198	PF01200	PF01245	PF01247	PF01249	PF01250	PF01251	PF01280	PF01282	PF01283	PF01386	PF01599	PF01632	PF01649	PF01655	PF01667	PF01775	PF01780	PF01783	PF01907	PF02033	PF02482	PF03719	PF03947	PF04758	PF04839	PF05046	PF05162	PF06325	PF06984	PF07147	PF08069	PF10501	PF14978	PF00398	PF01926	PF00177	PF00327	PF00338	PF00467	PF00687	PF00828	PF00900	PF00975	PF01189	PF01201	PF01246	PF01248	PF01281	PF01479	PF01765	PF01782	PF03297	PF03463	PF03464	PF03465	PF03501	PF03587	PF03764	PF03946	PF03948	PF04452	PF04957	PF05047	PF05239	PF05697	PF05698	PF08071	PF09776	PF09809	PF09812	PF10210	PF10244	PF10780	PF11788	PF13636	PF14693	PF01163	PF01798	PF02410	PF03880	PF14955	PF16121	PF16122	PF16205	PF16320	PF16321	PF16717	PF16906	PF17070	PF17125	PF01158	PF01159	PF01199	PF01294	PF01776	PF01777	PF01779	PF01781	PF01929	PF03868	PF04378	PF04939	PF05104	PF05316	PF06732	PF08136	PF09243	PF10484	PF13741	PF14943	PF06624	PF00270	PF00668	PF01172	PF01778	PF01985	PF02576	PF03399	PF03715	PF03939	PF04147	PF04738	PF04874	PF04900	PF04950	PF04981	PF05175	PF05178	PF05291	PF05890	PF06645	PF06747	PF07091	PF07780	PF07957	PF07961	PF08079	PF08293	PF08415	PF08443	PF08561	PF08640	PF09135	PF09368	PF09420	PF09598	PF09784	PF10037	PF10213	PF10236	PF10245	PF10246	PF10330	PF10441	PF10453	PF10609	PF11707	PF11709	PF11993	PF12298	PF12513	PF12614	PF12824	PF12923	PF12936	PF13167	PF13957	PF14204	PF14374	PF14401	PF14615	PF14622	PF15459	PF01119	PF03621	PF04180	PF04327	PF06862	PF07767	PF07890	PF08167	PF09805	PF12333	PF13186	PF13275	PF13509	PF13745	PF14617	PF15341	PF15433	PF15684	PF16053	PF16201	PF16360	PF17067	PF04410	PF09000	PF04086	PF08938	PF11987	PF05486	PF01008	PF01877	PF01936	PF03813	PF04117	PF04220	PF04221	PF05091	PF05456	PF05470	PF05711	PF06308	PF06703	PF06870	PF07918	PF07931	PF08077	PF08130	PF08208	PF08297	PF08438	PF08625	PF09108	PF09384	PF10380	PF10429	PF10680	PF11599	PF12111	PF12593	PF13958	PF14404	PF14406	PF14407	PF14408	PF14409	PF00204	PF01868	PF03367	PF05891	PF06769	PF07299	PF09073	PF10715	PF12639	PF12807	PF12862	PF15801	PF16169	PF16276	PF16571	PF16814	PF17011	PF17075
c17b47df7c288ba4b44d11e3b2a38ce0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	10	0	0	1	0	0	4	10	1	1	1	3	1	2	1	0	1	1	1	2	0	1	0	0	0	2	4	3	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
c18b080b44c8c1f605f80dc0659bd0b8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	2	1	1	0	0	0	0	3	0	0	0	0	0	1	13	1	1	1	2	1	1	0	2	2	0	0	0	1	7	1	1	0	0	0	0	0	0	1	1	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c27bbdd78dfef5044984a72f8b76c8b5	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	4	0	0	1	0	0	2	10	1	1	2	1	1	2	1	0	1	1	1	1	0	1	0	0	0	2	1	2	0	0	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	1	0	1	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c2a137a3871ed60a0ec801c7de192f07	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	2	2	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	2	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	2	0	1	1	1	1	0	0	0	0	7	0	0	0	0	0	6	14	1	1	1	1	1	1	0	7	1	0	0	0	1	6	1	1	0	0	0	0	0	0	4	1	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	21	0	0	0	1	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
c2b7a9a05a9a71d8285e176a042e6174	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	5	0	0	0	0	0	2	16	1	1	1	2	1	1	0	0	1	0	0	2	1	7	1	1	0	0	0	0	0	0	2	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c382670a7de7623979abb33936306d04	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	1	0	1	2	1	1	0	0	0	0	6	0	0	0	0	0	1	18	1	1	1	2	1	1	0	1	2	0	0	0	1	8	1	1	0	0	0	0	0	0	3	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c5f45a6fc4ed781f5123243177f7be0b	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	0	1	2	1	0	0	1	1	0	0	1	0	2	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	8	0	0	0	0	0	2	16	1	1	1	2	1	1	0	1	0	0	0	0	1	5	1	1	0	0	0	0	0	0	2	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cc707ff76b4679481e7defc787c8f098	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	2	1	1	0	0	0	0	7	0	0	0	0	0	4	14	1	1	1	2	1	1	0	0	1	0	0	0	1	5	1	1	0	0	0	0	0	0	1	1	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cd86fa5eabb24e630bf1602158bfb493	0	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	0	2	1	1	1	3	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	2	0	1	2	1	1	0	0	0	0	6	0	0	0	0	0	3	21	1	1	1	1	1	1	0	7	1	0	0	0	1	5	1	1	0	0	0	0	0	0	3	1	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
cf006f6275d9d4d7167840f6ee8764b6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	3	0	0	0	0	0	2	16	1	1	1	2	1	1	0	0	2	0	0	0	1	4	1	1	0	0	0	0	0	0	2	1	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1d5ca5c847cf715535e131efa82240a	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	2	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	4	0	0	1	0	0	3	9	1	1	1	2	1	2	1	0	0	1	1	2	0	2	0	0	0	2	1	2	0	0	1	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	1	0	1	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2f8c9c9d7fc71cc0f5ae4c505ae7c25	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	2	1	1	1	2	2	1	1	1	0	1	2	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	5	0	0	0	0	0	2	18	1	1	1	1	1	1	0	9	1	0	0	0	1	6	1	1	0	0	0	0	0	0	5	1	1	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	41	0	0	0	1	0	0	0	0	4	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	1	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0
d343c802765e689acdc81aa786f1c3be	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	4	0	0	0	0	0	1	16	1	1	1	3	1	1	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d34d61c76b63afc7712dd989fb5c3c53	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	2	0	0	1	0	0	2	10	1	1	1	2	1	1	1	0	2	1	1	2	0	2	0	0	1	2	1	2	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	1	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d47772d49c5f29cadbf7dedd8d94ae4d	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	3	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	8	0	0	0	0	0	2	12	1	1	1	1	1	1	0	6	2	0	0	0	1	8	1	1	0	0	0	0	0	0	2	1	1	1	0	0	6	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	8	0	0	1	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d559edf4b5ec905cc77eeecb46a8121f	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	4	0	0	0	0	0	1	21	1	1	1	1	1	1	0	0	1	0	0	2	1	5	1	1	0	0	0	0	0	0	2	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d70d949877bcaa888863c99f88b9766f	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	2	1	1	0	0	0	0	8	1	0	0	0	0	3	15	1	1	1	2	1	1	0	2	2	0	0	0	1	9	1	1	0	0	0	0	0	0	2	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	5	0	0	1	1	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d89c7e6c587a8cbb2e52309f96a5f5b9	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	4	0	0	1	0	0	2	5	1	1	1	0	1	2	1	0	0	1	1	1	0	2	0	0	0	2	1	2	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dc913db2b6166ea3d7c80cc5180b9bdb	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	5	0	0	0	0	0	1	14	1	1	1	2	1	1	0	0	1	0	0	1	1	7	1	1	0	0	0	0	0	0	2	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
